country,director,genre,title,year
,Род Харди,"криминальный фильм,драма,триллер",20 000 лье под водой,1997
,Григорий Никулин,исторический фильм,20-е декабря,1981
,Стюарт Патон,фантастика,20 000 лье под водой,1916
,Ричард Флейшер,"драма,, ,стимпанк,, ,приключенческий фильм",20 000 лье под водой,1954
,Айан Форсайт,"документальный,музыкальный",20 000 дней на Земле,2014
США,Тамара Олсон,комедия,18-летняя девственница,2008
,Майкл Кёртис,"Криминальная мелодрама,Тюремная драма",20 000 лет в Синг-Синге,1932
,Андрес Пуустусмаа,"исторический, ,детектив,приключение",18-14,2007
,Ким Джи Хун,"боевик,драма,военный,история",18 мая,2007
Казахстан,Фархат Шарипов,драма,18 килогерц,2021
,Дельфин Кулин,драма,17 девушек,2011
,Джозеф Го,"боевик,драма",18 бронзовых бойцов,
,Питер Делуиз,"подростковая, ,фэнтезийная комедия",16 желаний,
,Джон Херцфелд,"Криминальная драма,боевик",15 минут славы,2001
,Ричард Доннер,"криминальный фильм,драма,триллер",«16 кварталов»,2006
,Патрик Алессандрен,комедия,15 августа,
,Андрей Зайцев,мелодрама,14+: Продолжение,2023
,Андрей Зайцев,мелодрама,14+,2015
,Дэниел Ли,"боевик,триллер",14 клинков,2010
,Рене Клер,комедия,14 июля,1933
,Джонти Эктон,Ужасы,13-й знак,2000
,Камиль Деламарр,боевик,13-й район: Кирпичные особняки,2014
,Патрик Алессандрен,боевик,13-й район: Ультиматум,2009
,Мэл Хаус,ужасы,13-я жертва,2008
Чехословакия,Мартин Фрич,"криминальный фильм,драма,, ,экранизация",13-й участок,1946
,Чэн Ган,"приключенческий фильм,драма,военный фильм",14 амазонок,1972
,Сурен Бабаян,фантастический фильм,Тринадцатый апостол,1988
,Пьер Морель,"антиутопия,, ,боевик",13-й район,2004
,Майкл Бэй,"военный,драма,триллер",13 часов: Тайные солдаты Бенгази,2016
,Такаси Миикэ,боевик,13 убийц,2010
,Уильям Касл,фильм ужасов,13 призраков,1960
,,документальный,13 друзей хунты,2014
,Эмерих Йозеф Войтек,Комедия,13 стульев,1938
,Хакобо Мартинес,фильм ужасов,13 изгнаний дьявола,2022
,Клод Лелуш,"документальный фильм,спортивный фильм",13 дней во Франции,1968
,Даниэль Штамм,"триллер,, ,фильм ужасов",13 грехов,2014
,Корнелиу Порумбою,комедия,12:08 к востоку от Бухареста,2006
,Марк Захаров,"комедия,мюзикл,мелодрама",12 стульев,
,Роэль Рейн,"боевик,триллер",12 раундов: Перезагрузка,
,Александр Белинский,телеспектакль,12 стульев,1966
,Ренни Харлин,"боевик,триллер,криминал",12 раундов,2009
,Леонид Гайдай,комедия,12 стульев,
,Уильям Фридкин,"процессуальная драма,[d]",12 разгневанных мужчин,
,Сидни Люмет,"юридическая ,драма",12 разгневанных мужчин,1957
,Терри Гиллиам,"фантастика,триллер,драма,антиутопия",12 обезьян,1995
,Климентий Минц,"комедия,, ,сказка",12 могил Ходжи Насреддина,1966
,Александр Баршак,комедия,12 месяцев,2013
,Денис Елеонский,"фильм-сказка,,,комедия,,,мелодрама,,,семейный фильм",12 месяцев. Новая сказка,
,Джек Шолдер,"ужасы,, ,триллер,, ,драма",12 дней террора,2004
,Стив Маккуин,"историческая, ,драма",12 лет рабства,2013
,Грег Маркс,"Триллер,детективный фильм,криминал,чёрная комедия",11:14,2003
,Никита Михалков,"психологический, ,триллер,,,юридический, ,детектив,,,драма,,,артхаус",«12»,2007
,Даррен Линн Боусман,фильм ужасов о сверхъестественном,11-11-11,
,Филипп Годо,"драма,Саундтрек",11.6,2013
,Брэд Силберлинг,комедийная драма,10 шагов к успеху,2006
,Самира Махмальбаф,"драма,исторический,киноальманах",11 сентября,2002
,Джил Джангер,романтическая комедия,10 причин моей ненависти,1999
,Сьюзи Юинг,триллер,10 на 10,2018
США,Хантер Уикс,Документальное кино,10 миль в час,2007
,Роланд Эммерих,приключенческий боевик,«10 000 лет до нашей эры»,2008
,Джеми Линден,"драма,романтическая комедия",10 лет спустя,2011
,Мартин Гиги,"драма,, ,фильм-катастрофа",9/11,2017
,Эмметт Олстон,боевик,9 смертей ниндзя,1985
,Майкл Уинтерботтом,"драма,мелодрама,музыкальный фильм,эротика",9 песен,2004
,Фёдор Бондарчук,"военно,-,исторический,боевик,, ,драма",9 рота,2005
,Альбер Дюпонтель,комедия,9 месяцев строгого режима,2013
,Лаб Ки Мо,"драма,комедия",9 мёртвых геев,2002
,Тосиаки Тоёда,фильм-драма,9 душ,2003
,Авдотья Смирнова,Телеальманах,9 мая. Личное отношение,
,Рони Эзра,"Военный, драма",9 апреля,2015
,Майкл Даус,комедия,8-битное Рождество,2021
,"Перис Романо, Родриго Сорогойен",Романтическая кинокомедия,8 свиданий,2008
,Гэри Росс,"кинокомедия,криминальный фильм",8 подруг Оушена,2018
,Джоэл Шумахер,"триллер,криминал",8 миллиметров,1999
,Дэвид Додсон,комедия,8 первых свиданий,2012
,Марюс Вайсберг,"комедия, / ,мелодрама",8 лучших свиданий,2016
,Франсуа Озон,"мюзикл,комедия, ,детектив",8 женщин,2002
,Начо Вигалондо,"короткометражный, ,музыкальный",7:35 утра,
,Григорий Константинопольский,комедийный фильм,8 ½ $,1999
,Владимир Потапов,"боевик, / ,драма",Ноль-седьмой меняет курс,2007
,Сэм Мендес,шпионский фильм,007: Спектр,2015
,Хуан Карлос Манелья,"триллер,криминал",7 ящиков,2012
,Сэм Мендес,шпионский фильм,007: Координаты «Скайфолл»,
,Саймон Феллоуз,боевик,7 секунд,
,Джон Форд,драма,7 женщин,1966
,Саймон Кёртис,"драма,биография",7 дней и ночей с Мэрилин,2011
,Себастьян Ниман,"драма,фильм ужасов,триллер",7 дней до смерти,2000
,Вадим Соколовский,"комедия,мелодрама",7 главных желаний,
,Роджер Споттисвуд,киберпанк,6-й день,2000
,Тоа Фрейзер,"боевик,триллер",6 дней,2017
,Франсуа Озон,"мелодрама,драма",5×2,2004
,Алиса Павловская,"драма,, ,триллер,, ,биография",5 терапия,2017
,Дж. Блэйксон,"постапокалиптика,научная фантастика",5-я волна,2016
,"Эмад Бурнат, Гай Давиди",документальный фильм,5 разбитых камер,2011
,Аскар Узабаев,комедийный фильм,5 причин не влюбиться в казаха,2017
,Симон Бранд,триллер,5 неизвестных...,2006
,Александр Андреев,трагикомедия,5 недель,2021
,Хьюго Желен,"драма,семейный,Музыка к фильму",2+1,2016
,Мулари К. Теллури,"драматический фильм,[1],[2]",2:37,
,Пол Карри,триллер,2:22,2017
,Сергей Соловьёв,драма,2-Асса-2,2008
,Манон Брайан,комедия,2 секунды,1998
,Марко Фиорито,"порнофильм,ЛГБТ-фильм,[d]",2 Girls 1 Cup,
,Жан-Луи Гийерму,комедия,2 дурня в снегу,1977
,Жюли Дельпи,"комедия,драма,мелодрама",2 дня в Париже,2007
,Нил Бёргер,комедийная драма,1+1: Голливудская история,
,Оливье Накаш,"комедийная драма,бадди-муви",1+1,
,Шон Уолтман,порнофильм,1 Night in China,
,Амасий Мартиросян,комедия,01-99,1959
,Стив МакКаллум,криминальный,1%,2017
,Пол Краудер,документальный,1,2013
,Лейф Тильден,"драма,мелодрама",1 миля до тебя,2017
,Сенна Хегде,"документальный,драма,комедия",0-41*,2016
,Энтони Хайнс,"комедия,фантастика,мелодрамма",(Не)идеальные роботы,2023
,Аркадий Кольцатый,"драма,, ,приключения",«SOS» над тайгой,
,Яромил Йиреш,"драма, военный",…и передайте привет ласточкам,1972
,Збынек Брыных,"драма, военный, арт-хаус",...а пятый всадник – Страх,1965
,Борис Эпштейн,игровое кино,Чудотворец из Бирюлёва,1958
country,director,genre,title,year
" ,Индонезия",,"драматический фильм,[1]",?,
" ,США",,триллер,5 неизвестных...,2006
" ,СССР",,комедия,4:0 в пользу Танечки,1982
" ,Россия",,трагикомедия,5 недель,2021
" ,Великобритания",,"триллер,электро-хаус,, ,соул,, ,R’n’B,, ,хип-хоп,, ,грайм",4.3.2.1,2010
" ,Израиль, ,ПНА, ,Франция, ,Нидерланды",,документальный фильм,5 разбитых камер,2011
" ,США",,"драма,фантастика",4:44. Последний день на Земле,2011
"Финляндия,Норвегия,Швеция,Дания",,"драма, комедия",4 x 4,1965
" ,Румыния",,"психологическая ,драма","4 месяца, 3 недели и 2 дня",2007
" ,США",,Исторический документальный,4 маленькие девочки,1997
" ,Украина",,детектив,4 листа фанеры,1992
" ,Германия, ,Украина, ,Россия",,"военная, ,драма,боевик",4 дня в мае,2011
" ,США",,"драма,, ,исторический,, ,военный",55 дней в Пекине,1963
" ,Россия, ,Нидерланды",,драма,Четыре,2004
" ,США",,"фантастика,фильм ужасов",51,2011
